album,artist,track
!,Rusko,I Wanna Mingle
Bind Me,ETML,Bind Me
2051,Vaski,Crystal Mansion
At What Cost,GoldLink,Kokamoe Freestyle
I Love It,Kanye West,I Love It (& Lil Pump)
Nocturnal Activity,Rae & Christian,Not Just Anybody (feat. Kate Rogers) - Atjazz Flugelhorn Remix
Come Fly With Me,Frank Sinatra,Moonlight In Vermont - Remastered
This Time - Single,Frankie J.,This Time - Healey's Time
The Other Day,Pomo,Cherry Funk (feat. KAYTRANADA) - feat. KAYTRANADA
Legend,Bob Marley & The Wailers,Waiting In Vain
STAY DANGEROUS,YG,SLAY (feat. Quavo)
Enigma,Keith Murray,The Rhyme
Ride The Lightning (Remastered),Metallica,Creeping Death (Remastered)
93 Million Miles,Africa HiTech,Out In The Streets
Caetano E Gil - Tropicalia 2,Caetano Veloso,Cinema Novo
The Marimba Duo - Riverdance,Bill Whelan,Riverdance
Austin TV,Austin TV,Les Choses Sont Bizarres
"""The Night"" (Feat. Childish Major)",Rome Fortune,"""The Night"" (Feat. Childish Major)"
The Roots of Chicha 2,Los Wemblers,La Danza del Petrolero
King of Memphis,Young Dolph,Royalty
Welcome To Detroit,J Dilla,Think Twice
"Rock Konducta, Pt. 1",Madlib,Agitation Musik
Non-Stop Erotic Cabaret,Soft Cell,Tainted Love
Clark St EP,Mara Lakour,Clark St
What For?,Toro y Moi,Lilly
Mi Rumba,Kyodai,Illusions
20th Anniversary,El Gran Combo De Puerto Rico,La Muerte
Getting Sentimental,Bill Evans,Re: Person I Knew - Live
Platinum & Gold Collection,Angela Bofill,I Try - Remastered
Fly Times Vol. 1: The Good Fly Young,Wiz Khalifa,Taylor (Produced by Cardo)
Happy Days,Twista,Happy Days
Blackmarket presents 2 Step - Volume 2,Glamma Kid,Why
The Essentials,Ice Cube,It Was A Good Day
Control,Janet Jackson,Funny How Time Flies (When You're Having Fun)
What's There,Dauwd,What's There
"Chicago Juke Music, Vol. 3",DJ Solo,Turn the Heat Up - Original Mix
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)"
"Vibes, Pt. 2",Sebb Junior,I Can Feel It
Swing,JAXX DA FISHWORKS,Swing
Home,X&G,Home
Whipped Cream & Other Delights,Herb Alpert & The Tijuana Brass,Lollipops And Roses
Crazysexycool,TLC,Waterfalls
Plata O Plomo,Fat Joe,Spaghetti
Swimming,Mac Miller,Conversation Pt. 1
Pon Di Road & Essential,Aldubb,Essential (Dub Platöön Mix) [with Longfingah & Lengualerta]
Too Real,Giraffage,Do U Want Me
Desde Que Te Fuiste,Los Chamas,Todos Vuelven
"Dance, Dance, Dance: The Best Of Chic",CHIC,Soup for One
Browne Sugar,Tom Browne,Herbal Scent
Come Into Knowledge,RAMP,Everybody Loves The Sunshine
Back To The Future,Willie Rosario,No More Blues
Dogg Food,Tha Dogg Pound,Sooo Much Style
Manchester,Martyn,Manchester
Love Conquers All,Michael Wycoff,Looking Up to You
Best Friend,Dom Kennedy,Best Friend
ON LIFE,Teklife,ON LYFE!!!!!!!!!!!!!!!!!!!!!!!!!
Capsule,Adam Beyer,In Love
Now,Patrice Rushen,To Each His Own
Playlist (05-15),Mistabishi,Trip - Edited Version
Blind Man,Xavier Omär,Blind Man
The Swan Singles Collection,Link Wray & The Wraymen,Jack the Ripper
Mirrors,Nuage,September Song
Between Two Selves,Octo Octa,Bad Blood
I Want To Believe,Project Pablo,Follow It Up
On My Mind (Jorja Smith X Preditah),Jorja Smith,On My Mind (Jorja Smith X Preditah)
Me. I Am Mariah…The Elusive Chanteuse,Mariah Carey,It's A Wrap
To Pimp A Butterfly,Kendrick Lamar,Alright
The Shining Instrumental,J Dilla,Won't Do - Instrumental
In Rainbows,Radiohead,Reckoner
If There's a Hell Below,Black Milk,What It's Worth
Club Classics - Deep Garage and Disco House,Big Boy,Right Here
Relaxing Bossa Lounge 15,Joyce,Love of My Life - Bossa Version
Adrenaline Rush 2007,Twista,Creep Fast (feat. T-Pain)
Project 91,Boyd Rice,There Was Never A Moment When Evil Was Real
Reinforced Presents The Definition of Hardcore,Nookie,Gonna Be Alright
Pilot Talk: Trilogy,Curren$y,Roasted
Yellow London,Jay Newman,Talkin About - Greco (NYC) Remix
After The Carnaval,Zuco 103,Cria
"12"" Master Series Vol. 1",Surface,Falling In Love
The Documentary,The Game,Hate It Or Love It
Incognegro,Ludacris,What's Your Fantasy
Based On A True Story,Mack 10,"Mack 10, Mack 10"
Weezer,Weezer,Say It Ain't So
Love Me For Real / Gas Line - The Mukatsuku Edits,Rim Kwaku Obeng,Love Me For Real - Nik Weston Edit
Free,Ultra Nate,Free - Full Intention Mix
Can't Hold Back,Georg Levin,In Your Car (Reprise)
Crazibiza Radio Show - December 2016,Block & Crown,Vociferous - Club Mix
Duke Ellington & John Coltrane,Duke Ellington,My Little Brown Book
Faded (The Remixes),ZHU,Faded - Lido Remix
Dirty,Tortured Soul,Dirty - Live Mix
Thrust,Herbie Hancock,Actual Proof
John Cage,Ross from Friends,John Cage (Edit)
The KiNK Collection,Kink,PSYCHEFUNK
F10RIDA,Diplo,Big Lost
Assembly,Takuya Matsumoto,Be
IDLE050,Peverelist,Left Hand
Dutty Rock,Sean Paul,I'm Still in Love with You (feat. Sasha)
Hard Groove,The RH Factor,Poetry
Take Me Away (Remixes),DJ S.K.T,Take Me Away (feat. Rae) - Extended Radio Edit
Best Night Ever,DJ Clap,Friends
Madvillainy,Madvillain,Raid
Moment EP,Peggy Gou,Han Pan - Original Mix
Waves,Joey Bada$$,Enter The Void (feat. Ab-Soul)
Night In Tunisia: The Very Best Of Dizzy Gillespie,Dizzy Gillespie,Manteca
Solo Ellos... Los Destellos,Los Destellos,Amor en Primavera
Seek For Maktoop,Peggy Gou,Rose
"In the Deep, Vol. 2",Universal Solution,Deep Links - Original Mix
Fruko el Grande,Fruko Y Sus Tesos,El Preso
Lumberjack Soul,Miles Bonny,Learning To Fly
Big Love Funky House Anthology,Belezamusica,Running Away - Seamus Haji Remix
Avalon Sutra,Harold Budd,Three Faces West (Billy Al Bengston's)
Bad Boy's 10th Anniversary- The Hits,Carl Thomas,I Wish
Ballin',Illyus & Barrientos,Someone Else - Original Mix
The Mesektet,Flako,Drops
Ricky Nelson,Ricky Nelson,Waitin' In School - Remastered
Valentine's Groove,KINK,Valentine's Groove
Papa Amsterdam 2018,Soul Inscribed,Soul Shine - Rainy & Leon Remix
Follow The Leader,Korn,Freak On a Leash
Squidtastic,SahBabii,Anime World
Asking For A Friend / On A Day Like Today (Re-Edit),The Foreign Exchange,On A Day Like Today (Re-Edit)
Project 91,Z'ev,Where Were You ?
30th Anniversary,El Gran Combo De Puerto Rico,La Muerte
Dego & Kaidi,Dego,Carrots & Sesame
It'll All Be Over,Supreme Jubilees,Do You Believe
Sands Of Time,The S.O.S Band,Even When You Sleep
Todd Edwards' Nervous Tracks,Todd Edwards Presents The Messenger,"End This Hate - 12"" Extended Version"
No Fear 2 Killer Rhythmz 15th Anniversary (Underground Reggaeton Edition),DJ Dicky,No Fear 2 - Radio Version
"""Signs & Wonders""",Blue Six,Mass Transit
One Eighty,Ambrosia,Livin' on My Own
Midnight Sun,Young Bull,I Love My
In 'N Out,Joe Henderson,In 'N Out (Alternate Take) - Alternate Take/Rudy Van Gelder 24-Bit Remastering/2003
Giant Steps,Tommy Flanagan,Giant Steps
Clandestino,Shakira,Clandestino
Tawk Tomahawk,Hiatus Kaiyote,Mobius Streak
Master of My Make-Believe,Santigold,Disparate Youth
Sanctified EP,Floorplan,We Magnify His Name
Pizzazz,Patrice Rushen,Keeping Faith In Love
Anjunadeep 02,Oliver Smith,Sunday
Moon Shoes EP,Ravyn Lenae,Everything Above
Defected In The House Radio Show: Episode 010 (hosted by Sonny Fodera),Fusion Groove Orchestra,If Only I Could (feat. Steve Lucas) - Liem Remix
Finger Printz - EP,Kerri Chandler,Where Is Love
Not Far from the Future,BSN Posse,Pentium II 200 Mhz. (A Song to Elia)
Echoes,Sandboy,Call Out
Is This Real,Sunship,Ready To Rock
Out Of The Dark,Outside,Inside To Outside
"TheSoundYouNeed, Vol. 1",Dream Koala,Saturn Boy
Uber Everywhere,MadeinTYO,Uber Everywhere
Cuatro Caminos,Café Tacvba,Eo
My Old Friend / We Can,Kerri Chandler,My Old Friend
Let Ya Nutz Hang 2k7,Swishahouse,International Players Anthem
Across 110th Street (Digitally Remastered),Spanish Harlem Orchestra,Perla Morena
Wives And Lovers,Jack Jones,Wives And Lovers
Finesse (Remix) [feat. Cardi B],Bruno Mars,Finesse - Remix; feat. Cardi B
Bonito Recycling,Kero Kero Bonito,I'd Rather Sleep - et aliae Remix
The Best Of Roy Ayers,Roy Ayers,Searching
Cloudshine Deluxe,Reva DeVito,Should Have Known (Tall Black Guy Remix)
Project 91,T.A.G.C.,Mercurius
Days Like This,Shaun Escoffery,Days Like This - DJ Spinna & Ticklah Club Mix (Edit)
Aurora,The Hue,Slick
It's Alright With Me,Patti LaBelle,Music Is My Way of Life - John Luongo Remix
Mood II Swing's Nervous Tracks,Loni Clark,Love's Got Me (On A Trip So High) - Mood II Swing Club Version
"Forever, For Always, For Love",Luther Vandross,Better Love
We got it from Here... Thank You 4 Your service,A Tribe Called Quest,The Space Program
Good Life - The Best Of Inner City,Inner City,Good Life - Original 12'' Mix
Black Messiah,D'Angelo,Really Love
Hitem With the Juke,DJ Flawlez,Forgot About Dre/Hard In The Paint
Mysterious,Random Soul,Mysterious - Richard Earnshaw Remix
CrasH Talk,ScHoolboy Q,Floating (feat. 21 Savage)
Nuyorican Soul,Nuyorican Soul,You Can Do It (Baby) - Full Version
Girls Can Tell,Spoon,Me and the Bean
Introducing Wayne Gorbea's Salsa Picante,Wayne Gorbea's Salsa Picante,Para La Rumba
Now,Patrice Rushen,"Heartache, Heartbreak"
The Very Best Of Willie Hutch,Willie Hutch,Theme Of Foxy Brown / Overture Of Foxy Brown
Cold Spring Fault Less Youth,Mount Kimbie,Made To Stray
La Respuesta,Feid,La Respuesta
Vibe Called Quest,Rich Iyala,Ariel
Big Grams,Big Grams,Run for Your Life
Anthology,Roy Ayers,Magic Lady
Dorado Twenty One,Sunship,The 13th Key - The Black Science Alchemy Rebirth
Los Orientales de Paramonga,Los Orientales de Paramonga,Lobos al Escape
Aye,Fetty Wap,Aye
Strawberry Letter 23/The Very Best Of The Brothers Johnson,The Brothers Johnson,Strawberry Letter 23
Apocalypse,Thundercat,Tenfold
Illuminate,Latrice,Pleasure Unlimited
2 Bad Habits,Angie Stone,2 Bad Habits
Powerslave,Iron Maiden,Aces High - 1998 Remastered Version
"28 Grams, Vol. 5",Pollie Pop,Classic Man (Remix) - Screwed
Lost & Found,S-Tone Inc,Universe of Peace
La Luz,Coastal,La Luz
Out Of Africa,John Berry,If I Knew A Song Of Africa
The Beat Generation 10th Anniversary Presents: Jay Dee - Pause,J Dilla,Pause Feat. Phat Kat
A Little Spice,Loose Ends,Tell Me What You Want
Solo Ellos... Los Destellos,Los Destellos,Mi Moreno Linda
Lowdown EP,Low Steppa,Up All Night (Original Mix)
Light As A Feather,Chick Corea,Spain
Live Manchester And Dublin,Rodrigo y Gabriela,Medley: One/Take Five
Revelations EP,Tchami,Adieu
Princesses Nubiennes,Les Nubians,Desolée
Feel Good Ghosts (Tea-Partying Through Tornadoes),Cloud Cult,Hurricane and Fire Survival Guide
Early Riser,Taylor McFerrin,Already There
Travel - EP,Guliver Stone,Pictures
Fruits Of Nature,The UMC's,One To Grow On
Move To This,Cathy Dennis,Just Another Dream
I Don't Trust,No Hopes,I Don't Trust
All Good Things,Pacha Massive,Don't Let Go
Dirty Soul Presents Evening Stories,Shermanology,Old Skool Dayz
Chris Brown,Chris Brown,Yo (Excuse Me Miss)
Blizzard of Ozz (Expanded Edition),Ozzy Osbourne,Crazy Train - Remastered
Delirium EP,Dj Steaw,Static
Underground Alternatives,Nick Holder,Freedom In '63
Lives Again,My Digital Enemy,Lives Again
20 Años la Historia,El Klan de Porfi,Ni Llanto ni Flores
Blackcurrent Jazz 2,Funky DL,Jazzphonics
LOVEPLAYDANCE,TOSHIO MATSUURA GROUP,DO THE ASTRAL PLANE
When Love Is Breaking Down,Funky DL,Don't Even Try It
Rocky IV,John Cafferty,Hearts On Fire
Etno Chic,Zuco 103,Chuva
The Definitive Collection,Rick James,Big Time
Outboxx,Outboxx,Jaded
El Mal Querer,ROSALÍA,MALAMENTE - Cap.1: Augurio
Cool Out,Leroy Hutson,Cool Out
Labfunk,Atjazz,Day 2001
J.A.W.S,Lxury,J.A.W.S.
Worldwide Underground,Erykah Badu,Think Twice
People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,Bonita Applebum - Pharrell Williams Remix
Jill Scott Collaborations,Mos Def,Love Rain - (Coffee Shop Mix)
Blasphemy,Apollo Brown,"H20 (feat. Pharoahe Monch, Rakaa Iriscience, & Indjnous)"
Kahunastyle,Flamingosis,Can It Be
Portrait In Jazz [Keepnews Collection],Bill Evans,Autumn Leaves (Take 9 - monaural)
Dr. Buzzard's Original Savannah Band,Dr. Buzzard's Original Savannah Band,Sunshower
"In the Deep, Vol. 2",Mass Digital,Adultery - Original Mix
Mama Said Knock You Out,LL Cool J,Around The Way Girl
Cuatro Caminos,Café Tacvba,Eres
Welcome,Claudio Fasoli,Sagittario
The Very Best Of Willie Hutch,Willie Hutch,I Choose You
Joe's Delight,Philly Joe Jones,Trick Street
Until The Quiet Comes,Flying Lotus,Heave(n)
Whiskey Ginger EP,Fouk,Aldo Raine
One Way,One Way,Music
Cheese and Lips - EP,Human Gualture,Strain
You'll Understand,Ross from Friends,Talk to Me You'll Understand
When Eyes Meet E.P,Whistla,Only Treasure
Where I’m From,Kiko Bun,Where I'm From
"Epiphany: The Best Of Chaka Khan, Vol. 1",Chaka Khan,"I Know You, I Live You"
R&B: From Doo-Wop To Hip-Hop,Mtume,Juicy Fruit
City of God,Cartola,Preciso me encontrar
Piero Piccioni In Lounge,Piero Piccioni,Per Noi Due Soli
Four-Eighteen,Cid Rim,Four-Eighteen
Upload - EP,Penthouse Penthouse,Upload
Risqué,CHIC,My Forbidden Lover
Too Late Now - Single,Anik Khan,Too Late Now
Hyperion,Sasac,Boot Man
The Mechanism,Disclosure,The Mechanism
Girlfriend (feat. Ty Dolla $ign & Quavo),Kap G,Girlfriend (feat. Ty Dolla $ign & Quavo) - Remix
"TheSoundYouNeed, Vol. 1",Lone,2 is 8
Sofie's SOS Tape,Stimulator Jones,Soon Never Comes
At All / Hilarity Duff EP,KAYTRANADA,At All
Baltimore,Nina Simone,Baltimore
Photay,Photay,No Sass
3:33am,Amber Mark,Lose My Cool
The Other Side of Outro Lado,Zuco 103,Outro Lado - Presence Mix
Criminal Minded,Boogie Down Productions,The Bridge Is Over
Strictly Business (Deluxe Edition),Goldie,Hornet 127 - Original Mix
Shall Not Fade - 3 Years of Service,Lake Haze,Lost in Saint Petersburg
Andretti 10/30,Curren$y,Picking Up Bags
Alone Together,Karriem Riggins,Summer Maddness S.A.
Victory,Joey Bada$$,Victory
"Synqlock, Vol. 2",Leonidas,Asteroid - Jackin Acid Dub
Dr. Buzzard's Original Savannah Band,Dr. Buzzard's Original Savannah Band,Hard Times - Digitally Mastered - August 1988
Reinforced Presents: Tek 9 - The Early Plates,Tek 9,You Got to Slow Down
Hard To Get,Irma van Pamelen,Hard To Get - Stewart McCarthy Detroit FH Remix
Who Needs Guitars Anyway?,Alice DJ,Better Off Alone
Rej EP,Âme,Basic Track
Deep Inside,Hardrive,No Cure
20th Century Masters: The Millennium Collection: Best Of Con Funk Shun,Con Funk Shun,Love's Train
All 'N All,"Earth, Wind & Fire",Beijo (Interlude)
Giant Steps,John Coltrane,Giant Steps - Alternate Take
LucidDreamingSkylines,Psymun,Sweet Dreamz
Gun Love Fiction,Varnish La Piscine,Algenubi
Defected Radio Episode 063 (hosted by Sam Divine),4th Measure Men,4 You - DJ Steaw Remix; Mixed
Straight From The Heart,Patrice Rushen,Remind Me
You're Dead!,Flying Lotus,The Protest
A Night in Zagreb,The Bambi Molesters,Point Break - Live
Six Degrees,Ghostface Killah,Tones Rap - Instrumental
The Booty Tape,Ugly God,No Lies (feat. Wiz Khalifa)
A Man and His Music,Héctor Lavoe,Te Conozco
Afro,Cerrone,Funk Makossa (feat. Manu Dibango)
Miéntete,Lenny Tavárez,Miéntete
The Best of D Train,D-Train,Keep On
.370 EP,Private Press,Into the Circle
Santa's Top 10 Favorites,Bobby Helms,Jingle Bell Rock
Chicos de la Luz,Astro,Danza Celestial
Having A Party,The Pointer Sisters,Don't It Drive You Crazy
Reaching Perfection,Dombresky,Overtime
Tribute To Uncle Ray,Stevie Wonder,(I'm Afraid) The Masquerade Is Over
Free,Carmen Rodgers,Missin You
Get It Right,Aretha Franklin,Get It Right
"In the Deep, Vol. 2",Forest,October Sun - Original Mix
Intimate Strangers,Nick Wisdom,Feelin' Alright (feat. Reva Devito)
Fever Focus,Jacques Greene,Someone Else
Antiquity,Jackie McLean,De i comahlee ah
Want Your Body,Falcons,Want Your Body
SOB X RBE,SOB X RBE,Anti
Ahora Me Llama,Karol G,Ahora Me Llama
Combat Rock,The Clash,Rock the Casbah - Remastered
Discovery,Daft Punk,Something About Us
Too Hot To Handle,Heatwave,Boogie Nights
Control,Janet Jackson,Control
The Shaman's Heart,Byron Metcalf,Preparation Pulse
Get as Much Love as You Can,The Jones Girls,Nights Over Egypt
Sound Boy Connection,DJ Q,Heaven
Bel Air,Dj Steaw,Bel Air
Whoa!,Alizzz,In Chains
Recover EP,CHVRCHES,Recover - Cid Rim Remix
The '95 Vibe,Melé,Temptation
Innervisions,Stevie Wonder,Don't You Worry 'Bout A Thing
Central Heating,Heatwave,Central Heating
Mangase / Hafi Deo,Tabu Ley Rochereau,Hafi Deo
Stone Jam,Slave,Let's Spend Some Time
Nancy Wilson/Cannonball Adderley,Nancy Wilson,Save Your Love For Me
Jeremih,Jeremih,Birthday Sex
"TheSoundYouNeed, Vol. 1",20syl,Kodama
ON LIFE,Teklife,ICE CREAM
Frozen,Mr. Carmack,Continue
Innervisions,Stevie Wonder,Too High
Nü Revolution,Les Nubians,Mbengue (A Letter From. . . )
Indo Jazz Suite,The Joe Harriott-John Mayer Double Quintet,Contrasts
Deeon Doez Deeon! - EP,DJ Deeon,Freak Like Me
20 Y.O.,Janet Jackson,Call On Me
Double Cup,DJ Rashad,Pass That Shit (feat. Spinn & Taso)
Hip Love,FaltyDL,Hip Love - Jamie xx Remix
Outer Peace,Toro y Moi,Monte Carlo (feat. WET)
"In the Deep, Vol. 2",Eyrezy,Don't You Want My Love - Original Mix
Faze DJ Set #27: Adana Twins,Robosonic,La Fique
What a Comeback!,Louie Austen,Tweedy Tweedy
re:works,Gabriel Fauré,Fauré: Requiem (Sanctus) - Faultline Rework
With Me,Lane 8,With Me
Coke N Butter,O.T. Genasis,Get Racks (feat. T.I.)
"God Forgives, I Don't",Rick Ross,Diced Pineapples
Sonic Bullets 13 from the Hip,The Bambi Molesters,Malaguena
Break It Down EP,DJ Taye,Go Away (feat. DJ Paypal)
Broken Bubble - Variety,Melodiesinfonie,Vmoothsibes
Doggystyle,Snoop Dogg,"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)"
Sincere,MJ Cole,Sincere
Hey Up There (feat. Ty Dolla $ign),Buddy,Hey Up There (feat. Ty Dolla $ign)
The Afrosound Of Colombia Volume 1,Fruko Y Sus Tesos,El ausente
Worst Case Scenario,Elaquent,Shibuya
Papa Amsterdam 2018,Kobi Kat,The Shuffle
Sunburn,Fuel,Mary Pretends
17,XXXTENTACION,Fuck Love (feat. Trippie Redd)
Now,Patrice Rushen,Gotta Find It
Free,Carmen Rodgers,Ain't No Time
Originales - 20 Exitos,Los Fabulosos Cadillacs,Siguiendo La Luna
Just Another Day,Nate Dogg,Because I Got a Girl
Rodalquilar,Bluestaeb,Tomorrow We Will Love Again
IV,BADBADNOTGOOD,IV
All Gone Pete Tong & Reboot Future Sounds Sampler,Frank B,Chain Of Fools
Virgin Ubiquity II,Roy Ayers,I Am Your Mind part 2 - Original
Tanto Tempo,Bebel Gilberto,Sem Contencao
Moon Beams,Bill Evans Trio,Re: Person I Knew
Distorted Air,Anushka,World in a Room
Beautifully Human: Words and Sounds Vol. 2,Jill Scott,I'm Not Afraid
Monster (Expanded Edition),Herbie Hancock,Saturday Night
"Christmas Disco, Vol. 2",Cristina Camargo,Moral Tem Hora
PARTYNEXTDOOR,PARTYNEXTDOOR,Over Here (feat. Drake)
Edits by Mr. K Vol. 2: Music Of The Earth,Rare Pleasure,Let Me Down Easy
¡Gózalo! Vol. 4,Los Girasoles,Aguanile
A Good Night in the Ghetto,Kamaiyah,Come Back
Ben Webster Meets Oscar Peterson,Ben Webster,When Your Lover Has Gone
